Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Mogadishu, Somalia",Somalia,1981,Jul,Monday,Somali Airlines,Mogadishu- Hargeisa,Fokker F-27 Friendship 600RF,50.0,50.0,0.0,0.0,50.0,50.0,Part of the right wing separated from the plane after the aircraft entered an area of heavy rain and severe turbulence and went into a spiral dive 8 minutes after takeoff.
Madagascar,No Data,1981,Jul,Friday,Air Madagascar,Toamasina-Andapa,de Havilland Canada DHC-6 Twin Otter 300,19.0,19.0,0.0,0.0,19.0,19.0,Flew into a mountain. Controlled flight into terrain.
"Caruru, Colombia",Colombia,1981,Jul,Saturday,Transamazonica,No Data,Douglas C-53D-DO,9.0,5.0,0.0,4.0,5.0,9.0,The aircraft crashed short of the runway while attempting to land after a severe vibration required the crew to shut down the engine and feather the propeller.
"Chihuahua, Mexico",Mexico,1981,Jul,Monday,Aeromexico,Monterey - Chihuahua,McDonnell Douglas DC-9-32,66.0,32.0,0.0,34.0,32.0,66.0,"While landing in adverse weather conditions, the aircraft landed right of the runway, bounced and struck the ground. The fuselage broke in two and caught fire. Thunderstorms and strong turbulence in the area associated with a tropical air mass."
"Near Sanyi, Miao-li, Taiwan",No Data,1981,Aug,Saturday,Far Eastern Air Transport,Taipei - Kaohsiung,Boeing B-737-222,110.0,110.0,0.0,0.0,110.0,110.0,The aircraft experienced in-flight structural failure. Severe corrosion in belly of plane led to a pressure hull rupture and disintegration of the plane.
"Near Zavitinsk, Russia",Russia,1981,Aug,Monday,Aeroflot / Military - Russian Air Force,Komsomol'sk-na-Amure - Blagoveshchensk,Antonov AN-24RV / Soviet Air Force TU-16,32.0,31.0,0.0,1.0,31.0,32.0,"Midair collision with a Soviet Air Force TU-16. The only surviving passenger, a 20 year old woman was found in a forest 3 days later. Poor communication between civilian and military ATCs."
"Mt. Elena, Colombia",Colombia,1981,Aug,Thursday,Aeropesca Colombia,Florence - Neiva,Vickers Viscount 745D,50.0,50.0,0.0,0.0,50.0,50.0,Crashed in the jungle on a mountain peak. Flying VFR in meteorological conditions below minima.
"Zeya, Russia",Russia,1981,Aug,Saturday,Aeroflot,Chita - Zeya,Yakovlev YAK-40,34.0,3.0,0.0,31.0,3.0,34.0,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground."
"Paipa, Colombia",Colombia,1981,Sep,Wednesday,Aereo el Venado,Paipa - Cartagena,Embraer 110P1 Bandeirante,22.0,21.0,0.0,1.0,21.0,22.0,The aircraft was unable to gain altitude upon taking off. After turning left the plane struck a hill. Overloaded.
"Zeleznogorsk, Russian",No Data,1981,Sep,Friday,Aeroflot /Military - Russian,Irkutsk - Zeleznogorsk,Yakovlev YAK-40 / Mil Mi-8,40.0,40.0,0.0,0.0,40.0,40.0,Midair collision with a military Mi-8 helicopter (CCCP-22268). Thirty-three killed aboard the Yak-40.
"Nellis AFB, Nevada",USA,1981,Sep,Monday,Military - U.S. Air Force,"Fort Lewis, WA - Indian springs, NV",Lockheed C-130H Hercules,70.0,7.0,0.0,63.0,7.0,70.0,Crashed short of the runway. The plane was carrying infantry troops.
"Near Babaeski, Turkey",Turkey,1981,Sep,Tuesday,Military - Turkish Air Force,No Data,Northrop F-5A,0.0,0.0,40.0,0.0,40.0,40.0,The fighter crashed into a village after the pilot ejected from the plane.
"Tehran, Iran",Iran,1981,Sep,Tuesday,Military - Iranian Air Force,Ahwaz - Tehran,Lockheed C-130H,80.0,60.0,20.0,20.0,80.0,100.0,Crashed into Tir Square while on approach to land. Killed were Iran's Defense Minister and other military officals.
"Casper, Wyoming",USA,1981,Oct,Thursday,Sky Train Air,"Casper, WY - McAllen, TX",Learjet 24,3.0,3.0,0.0,0.0,3.0,3.0,"A loss of control, possibly initiated by an unexpected encounter with moderate to severe clear air turbulence, which caused the aircraft to depart the narrow flight envelope boundaries in which it was operating and from which recovery was not effected."
"Moerdijk, Netherlands",Netherlands,1981,Oct,Tuesday,NLM (Nederlandse Luchtvaart Maatschappij),Rotterdam - Eindhoven - Hamburgh,Fokker F-28 Fellowship 4000,17.0,17.0,0.0,0.0,17.0,17.0,The aircraft entered an area of severe turbulence and a tornado which resulted in the separation of the right wing and in-flight break up.
"Kufstein, Austria",Austria,1981,Oct,Thursday,Oefag Flugdienst,Salzbourg-Olbia,Cessna 404 Titan,9.0,9.0,0.0,0.0,9.0,9.0,Crashed into a mountain.
"St. Thomas, U.S. Virgin Islands",No Data,1981,Oct,Monday,Aerolineas Argo,Saint Croix - Saint Thomas,Lockheed L-749A Constellation,5.0,5.0,0.0,0.0,5.0,5.0,After executing a turn to avoid traffic the cargo plane struck the ocean. Pilot misjudged the altitude and clearance.
"Bafoussam, Cameroon",Cameroon,1981,Oct,Saturday,Cameroon Airlines,No Data,de Havilland Canada DHC-6 Twin Otter 300,24.0,1.0,0.0,23.0,1.0,24.0,"The aircraft took off, lost altitude, settled back on the runway and overshot the runway. The aircraft was overloaded. Other factors were the pilot misjudged the distance and speed during the takeoff and lack of proper pre-flight planning."
"Sierra de Guerro, Mexico",Mexico,1981,Nov,Sunday,Aeromexico,Acapulco - Guadalajara,McDonnell Douglas DC-9-32,18.0,18.0,0.0,0.0,18.0,18.0,The flight struck a mountain during an emergency descent due to explosive decompression. Crew's failure to follow approved emergency procedures.
"Norilsk, Russia",Russia,1981,Nov,Monday,Aeroflot,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,167.0,99.0,0.0,68.0,99.0,167.0,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.
"Biratnagar, Nepal",Nepal,1981,Nov,Thursday,Royal Nepal Airlines,Biratnagar-Katmandou,Pilatus PC-6/B2-H2 Turbo-Porter,10.0,10.0,0.0,0.0,10.0,10.0,Crashed after takeoff.
"Castries, Saint Lucia Island",No Data,1981,Nov,Monday,Guyana Airways,Castries-Miami,Douglas DC-6A,3.0,3.0,0.0,0.0,3.0,3.0,Engine failed during takeoff. The cargo plane crashed while returning to the field.
"Mt. San Pietro, near Ajaccio, Corsica, France",No Data,1981,Dec,Tuesday,Inex Adria Aviopromet (Yugoslavia),Ljubljana - Ajaccio,McDonnell Douglas MD-81,180.0,180.0,0.0,0.0,180.0,180.0,The aircraft crashed into a mountain during an approach to Camp dell Oro Airport in heavy fog. The crew was not properly prepared for the approach. The minimum altitude and maximum speed limits of the holding pattern were probably not retained. Imprecise language used by the crew and air traffic controller.
"Honolulu, Hawaii",USA,1981,Dec,Saturday,Private - Parajump air show,"Haliive, HI  - Honolulu, HI",Beech C-45H,12.0,11.0,0.0,1.0,11.0,12.0,"Crashed into the water. Improperly loaded aircraft, weight and center of gravity."
"Kuala Belait, Brunei",No Data,1981,Dec,Wednesday,Bristow Helicopters,No Data,Aerospatiale Puma,12.0,12.0,0.0,0.0,12.0,12.0,Crashed into the sea.
"Near Covenas, Colombia",Colombia,1981,Dec,Friday,ACES Colombia,Medellin-Monteria-Covenas,de Havilland Canada DHC-6 Twin Otter 300,13.0,13.0,0.0,0.0,13.0,13.0,Struck high ground.
"Near Gelendzhik, USSR",Russia,1982,Jan,Thursday,Aeroflot,Novorossiysk - Sukhumi,LET  410M Turbojet,18.0,18.0,0.0,0.0,18.0,18.0,The aircraft crashed into high ground 22 km from the airport. Continued VFR flight into IFR condtions.
"Washington, D.C.",No Data,1982,Jan,Wednesday,Air Florida,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,79.0,74.0,4.0,5.0,78.0,83.0,"The aircraft crashed into the 14th St. bridge and the Potomac River and sank shortly after taking off from Washington National Airport. The aircraft reached a peak altitude of 300 ft. The flight crew's failure to use the engine anti-icing system during takeoff. Failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. Ice which accumulated on the engine pressure probes resulted in erroneously high Engine Pressure Ratio (EPR) readings. When the throttles were set to takeoff EPR, the engines were actually developing significantly less than takeoff thrust. The crew's inexperience in icing condtions was a contributing factor."
"Near Addis Ababa, Ethiopia",Ethiopia,1982,Jan,Thursday,Military - Ethiopian Air Force,No Data,Antonov AN-26,73.0,73.0,0.0,0.0,73.0,73.0,Shot down by rebel forces.
"Logan Airport,  Boston, Massachusetts",No Data,1982,Jan,Saturday,World Airways,Newark - Boston,McDonnell Douglas DC-10-30CF,212.0,2.0,0.0,210.0,2.0,212.0,"While landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. The minimal braking effectiveness on the ice-covered runway. The crew landed without sufficient information as to runway conditions. Lack of FAA regulations. The pilot's decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident."
"Constanta, Romania",Romania,1982,Jan,Monday,Tarom,Training,Antonov An-24RV,7.0,7.0,0.0,0.0,7.0,7.0,A malfunction of the No. 1 engine feathering system caused the aircraft to lose control and crash.
"Djibouti, Djbouti",No Data,1982,Feb,Wednesday,Military - French Air Force,Training,Nord 2501 Noratlas,35.0,35.0,0.0,0.0,35.0,35.0,Crashed into a mountain before a planned paratroop drop.
"Island of Cheju, South Korea",South Korea,1982,Feb,Saturday,Military - Republic of South Korea Air Force,Seoul - Jeju,Fairchild C-123,53.0,53.0,0.0,0.0,53.0,53.0,Crashed into Mt. Halla while on approach to land in poor weather. Possible microburst windshear.
"Near Srinagar, India",India,1982,Feb,Sunday,Military - Indian Air Force,Pathankot-Srinagar,Fairchild C-119G,23.0,23.0,0.0,0.0,23.0,23.0,Crashed in dirzzle and snow while en route.
"Mt. Ipao, Philippines",Philippines,1982,Feb,Tuesday,Trans Air Services,Manila - Sicogon,Douglas DC-3 (C-47A-70-DL),32.0,3.0,0.0,29.0,3.0,32.0,Struck Mt. Ipao on Panay Island.
"Tokyo, Japan",Japan,1982,Feb,Tuesday,Japan Air Lines,Fukuoka - Tokyo,McDonnell Douglas DC-8-61,174.0,24.0,0.0,150.0,24.0,174.0,"The aircraft flew into shallow water, 100 yards meters short of the runway, after a struggle between a mentally ill captain and the co-pilot and flight engineer. The plane hit approach-light stanchions extending above the bay waters after which the nose broke off. During the approach, the captain, known to have mental problems, put the inboard engines into reverse in an attempt to destroy the aircraft while the co-pilot and flight engineer battled to restrain him."
"Cerro el Tablazo, Colombia",Colombia,1982,Feb,Friday,LAC Columbia,No Data,Douglas DC-6BF,4.0,4.0,0.0,0.0,4.0,4.0,The cargo plane crashed into high ground while on apporach to land.
"Providence, Rhode Island",USA,1982,Feb,Sunday,Pilgrim Airlines,New York City - Bridgeport - New Haven - Groton - Boston,de Havilland DHC -6-100,12.0,1.0,0.0,11.0,1.0,12.0,The aircraft made an emergency landing near a reservoir after a fire erupted in the cockpit while the aircraft was en-route under IFR conditions. The fire spread to the cabin and destroyed the aircraft after impact.  The deficient design of the isopropyl alcohol windshield washer/deicer system and the inadequate maintenance of the system which resulted in an in-flight fire. The ignition source was not determined.
"Mehamn, Norway",Norway,1982,Mar,Thursday,Wideroe's Flyveselksap,Berlevag - Mehamn,de Havilland Canada DHC-6 Twin Otter 300,15.0,15.0,0.0,0.0,15.0,15.0,"The aircraft crashed while on a flight from Berlevåg to Mehamn after the failure of the tail fin and rudder in moderate turbulence.  Overload due to a combination of clear air turbulence, mountain wave and the pilots spontaneous improper actions. There is some controversy surrounding this crash including the possiblity the aircraft was shot down by or collided with a British NATO Harrier jet fighter."
"Near Woodstock, Illinois",USA,1982,Mar,Friday,Military - U.S. Air Force,Sawyer-Chicago,Boeing KC-135C,27.0,27.0,0.0,0.0,27.0,27.0,"Crashed 40 miles northwest of Chicago O'Hare Airport where it was to have landed. Exploded and dove in an almost vertical attitude from a height of 13,700 ft. into a wooded area, exploded and burned. Most probably overpressurization under the cargo floor and ignition of fuel vapor."
"Leesburg, Florida",USA,1982,Mar,Friday,Private,None,Beechcraft Bonanza F35,3.0,3.0,0.0,0.0,3.0,3.0,"Randy Rhoads, 25, lead guitarist for heavy metal star Ozzy Osbourne was killed when the plane in which he was a passenger crashed into a tour bus and a house. The pilot was attempting to buzz Osbourne's tour bus when after several attempts, the left wing struck the side of the bus puncturing it in two places approximately half way down the right side.  The plane was thrown over the bus, hit a pine tree, severing it approximately 10 feet up from the bottom, before it crashed into the garage of a  house. The plane was an estimated 10-11 feet off the ground traveling at approximately 120 - 150 knots during final impact. Several other members of the group were inside the bus but were not hurt. The pilot,  Andrew Aycock's medical certificate (3rd class) had expired, making his pilots license invalid. All three aboard, Rhoads, Rachel Youngblood, the groups hairdresser and the pilot were killed. Poor judgement by the pilot in buzzing the bus and misjudging clearance of obstacles."
"Branti Airport, Indonesia",Indonesia,1982,Mar,Saturday,Garuda Indonesia Airlines,Bogota-Saravena,Fokker F-28 Fellowship 1000,27.0,27.0,0.0,0.0,27.0,27.0,"The plane overran the runway in heavy rain, crashed into a field and burned while attemping to land."
"Queate, Colombia",Colombia,1982,Mar,Friday,Aeropesca Colombia,Villavicencio - Bogota,Vickers Viscount 745D,21.0,21.0,0.0,0.0,21.0,21.0,Crashed into a mountain during poor weather conditions.
"Near Tanana, Alaska",USA,1982,Apr,Sunday,Air Taxi - Tundra Copters,Banddanack - Fairbanks,Hughes 369D,3.0,3.0,0.0,0.0,3.0,3.0,The helicopter crashed on a snow covered mountain slope in a steep left bank in overcast and snow showers. Continued VFR flight into IFR conditons.
"Near Erzurum, Turkey",Turkey,1982,Apr,Tuesday,Military - U.S. Air Force,Erzurum - Incirlik,Lockheed C-130H,27.0,27.0,0.0,0.0,27.0,27.0,Failure of the No.4 engine followed by separation of the engine and propeller of the No.3 engine.  Overpressurization of the right wing resulting in an explosion and in-flight fire. A Mayday was received from the aircraft before it fell and crashed into mountainous terrain and burst into flames. Attachment bolts to support the No. 4 engine had not been installed.
"Near Yangshuo, Guangxi, China",No Data,1982,Apr,Monday,CAAC,Guangzhou - Guilin,Hawker Siddeley Trident 2E,112.0,112.0,0.0,0.0,112.0,112.0,The aircraft struck a mountain in heavy rain during a landing attempt.
Gulf of Thailand,No Data,1982,Apr,Friday,Okanagan Helicopters,No Data,Sikorsky S-76,13.0,13.0,0.0,0.0,13.0,13.0,The helicopter crashed under unknown circumstances.
"Off Aden, Yemen",Yemen,1982,May,Sunday,Alyemda,Mukalla - Aden,de Havilland Canada DHC-7-103,49.0,47.0,0.0,2.0,47.0,49.0,Crashed into the ocean during an approach 2 km short of the runway.
"Judsonia, Arkansas",USA,1982,May,Wednesday,Military - U.S. Air Force,Training,Lockheed C-130E Hercules,7.0,7.0,0.0,0.0,7.0,7.0,Lost a wing and crashed.
South Atlantic Ocean,No Data,1982,May,Wednesday,Military - Royal British Navy,No Data,Westland Sea King HC-4 (helicopter),30.0,21.0,0.0,9.0,21.0,30.0,"The helicopter, carrying troops from one ship to another during the Falkland Islands war, crashed into the Atlantic Ocean. Possible bird strike or component failure."
"Brazilia, Brazil",Brazil,1982,May,Tuesday,VASP,Sao Paulo - Brasilia,Boeing B-737-200,118.0,2.0,0.0,116.0,2.0,118.0,The aircraft broke in two after a hard landing. The pilot's misuse of rain repellant caused an optical illusion.
"Off Natuma Island, Indonesia",Indonesia,1982,May,Friday,Pelita Air Service,No Data,Aerospatiale 330G Puma,10.0,10.0,0.0,0.0,10.0,10.0,The helicopter crashed into the sea.
